transaction_id,customer_id,date,amount,transaction_type
T000001,C02966,2023-07-20,16024,Deposit
T000002,C00471,2023-12-25,15357,Loan Payment
T000003,C00211,2023-09-07,23157,Loan Payment
T000004,C01711,2023-07-21,5176,Deposit
T000005,C01509,2023-01-14,13071,Loan Payment
T000006,C00445,2023-07-09,8100,Deposit
T000007,C00394,2023-09-11,20495,Loan Payment
T000008,C02679,2023-06-21,28488,Loan Payment
T000009,C01500,2023-05-22,3837,Withdrawal
T000010,C00135,2023-01-22,3943,Deposit
T000011,C01308,2023-11-01,11946,Withdrawal
T000012,C01460,2023-07-18,7773,Deposit
T000013,C02283,2023-01-18,35513,Loan Payment
T000014,C01232,2023-07-05,4927,Deposit
T000015,C01515,2023-05-19,14263,Withdrawal
T000016,C01036,2023-01-05,48630,Loan Payment
T000017,C00926,2023-08-03,14815,Withdrawal
T000018,C01307,2023-05-16,48618,Loan Payment
T000019,C02090,2023-08-21,31175,Loan Payment
T000020,C01112,2023-04-03,14357,Deposit
T000021,C02811,2023-06-05,46112,Loan Payment
T000022,C00607,2023-04-10,49712,Loan Payment
T000023,C01021,2023-06-14,7656,Loan Payment
T000024,C01681,2023-03-18,36215,Loan Payment
T000025,C02566,2023-08-20,11552,Loan Payment
T000026,C01767,2023-03-14,6227,Deposit
T000027,C02976,2023-08-30,7702,Withdrawal
T000028,C01619,2023-11-16,27161,Loan Payment
T000029,C02558,2023-06-26,25077,Loan Payment
T000030,C02506,2023-01-27,45741,Loan Payment
T000031,C02358,2023-06-10,32755,Loan Payment
T000032,C01975,2023-03-24,14580,Withdrawal
T000033,C02313,2023-04-10,11241,Withdrawal
T000034,C00155,2023-08-16,8174,Withdrawal
T000035,C01491,2023-02-07,12474,Deposit
T000036,C00252,2023-04-26,12737,Deposit
T000037,C00321,2023-11-26,12478,Loan Payment
T000038,C00089,2023-05-25,6078,Deposit
T000039,C01210,2023-04-25,12286,Withdrawal
T000040,C02052,2023-01-22,19046,Deposit
T000041,C02774,2023-04-16,3570,Withdrawal
T000042,C01103,2023-12-09,5250,Loan Payment
T000043,C02442,2023-04-25,3675,Withdrawal
T000044,C00328,2023-06-07,14672,Loan Payment
T000045,C02797,2023-09-26,3746,Withdrawal
T000046,C01269,2023-07-20,14851,Withdrawal
T000047,C01939,2023-10-31,41816,Loan Payment
T000048,C00028,2023-03-28,6097,Loan Payment
T000049,C02370,2023-07-07,9524,Deposit
T000050,C00695,2023-02-24,6487,Withdrawal
T000051,C00497,2023-05-22,3786,Withdrawal
T000052,C01429,2023-09-10,44673,Loan Payment
T000053,C02950,2023-06-26,10424,Loan Payment
T000054,C02487,2023-10-18,5544,Loan Payment
T000055,C00340,2023-10-14,16657,Deposit
T000056,C02336,2023-01-12,34375,Loan Payment
T000057,C02875,2023-11-28,11905,Loan Payment
T000058,C00958,2023-06-30,10733,Loan Payment
T000059,C02436,2023-09-07,13837,Withdrawal
T000060,C02784,2023-02-14,2996,Withdrawal
T000061,C00125,2023-10-29,14611,Withdrawal
T000062,C00612,2023-06-15,29461,Loan Payment
T000063,C02098,2023-12-10,10702,Withdrawal
T000064,C02201,2023-08-22,11292,Withdrawal
T000065,C01510,2023-12-06,4307,Withdrawal
T000066,C02581,2023-07-24,18620,Loan Payment
T000067,C00659,2023-06-22,1695,Deposit
T000068,C02002,2023-12-21,7564,Deposit
T000069,C00578,2023-08-13,16219,Loan Payment
T000070,C02403,2023-12-26,10317,Loan Payment
T000071,C00288,2023-07-04,14958,Deposit
T000072,C02660,2023-11-02,23826,Loan Payment
T000073,C00755,2023-05-13,44846,Loan Payment
T000074,C01467,2023-05-06,32591,Loan Payment
T000075,C02120,2023-09-10,25536,Loan Payment
T000076,C02282,2023-08-09,8717,Withdrawal
T000077,C00101,2023-04-05,29396,Loan Payment
T000078,C00473,2023-06-08,5659,Withdrawal
T000079,C00410,2023-11-28,16673,Loan Payment
T000080,C01151,2023-02-25,8832,Withdrawal
T000081,C02226,2023-08-04,30237,Loan Payment
T000082,C00533,2023-02-23,10606,Deposit
T000083,C01708,2023-10-30,11982,Withdrawal
T000084,C00071,2023-08-16,25476,Loan Payment
T000085,C01866,2023-08-13,12692,Deposit
T000086,C02288,2023-12-16,44921,Loan Payment
T000087,C01859,2023-06-15,4831,Withdrawal
T000088,C00575,2023-07-11,9210,Deposit
T000089,C01745,2023-01-31,6762,Loan Payment
T000090,C00420,2023-12-04,38720,Loan Payment
T000091,C02196,2023-10-09,32913,Loan Payment
T000092,C02302,2023-11-27,11082,Deposit
T000093,C01714,2023-10-18,7039,Withdrawal
T000094,C02678,2023-04-27,32080,Loan Payment
T000095,C02896,2023-04-07,5813,Withdrawal
T000096,C00720,2023-08-23,30929,Loan Payment
T000097,C00304,2023-02-19,1888,Withdrawal
T000098,C00156,2023-07-24,7311,Withdrawal
T000099,C01101,2023-10-04,1003,Withdrawal
T000100,C01942,2023-11-18,11775,Withdrawal
T000101,C00956,2023-06-07,21680,Loan Payment
T000102,C01583,2023-08-29,29342,Loan Payment
T000103,C02492,2023-07-09,34684,Loan Payment
T000104,C02402,2023-05-11,17921,Deposit
T000105,C01558,2023-12-24,18088,Loan Payment
T000106,C00207,2023-09-21,3684,Deposit
T000107,C02012,2023-05-31,17681,Deposit
T000108,C02037,2023-05-06,1729,Deposit
T000109,C01324,2023-09-18,13166,Withdrawal
T000110,C01702,2023-07-26,43017,Loan Payment
T000111,C01889,2023-12-11,758,Withdrawal
T000112,C00741,2023-05-15,13288,Deposit
T000113,C01858,2023-12-18,13663,Loan Payment
T000114,C00451,2023-01-25,16269,Deposit
T000115,C02034,2023-01-10,1529,Withdrawal
T000116,C02758,2023-09-27,1334,Deposit
T000117,C02134,2023-02-17,47236,Loan Payment
T000118,C01396,2023-04-03,2533,Deposit
T000119,C02487,2023-12-10,2037,Withdrawal
T000120,C01678,2023-08-01,1449,Withdrawal
T000121,C02492,2023-02-06,14567,Deposit
T000122,C00637,2023-03-28,13240,Loan Payment
T000123,C00581,2023-03-26,19788,Loan Payment
T000124,C02650,2023-11-27,8496,Withdrawal
T000125,C00422,2023-01-23,45939,Loan Payment
T000126,C00324,2023-02-20,14129,Withdrawal
T000127,C02045,2023-07-02,3204,Withdrawal
T000128,C00597,2023-01-17,38574,Loan Payment
T000129,C00803,2023-05-11,10132,Deposit
T000130,C01412,2023-05-09,13985,Withdrawal
T000131,C01702,2023-08-24,16447,Deposit
T000132,C01395,2023-08-21,13927,Deposit
T000133,C02001,2023-09-29,12961,Withdrawal
T000134,C01478,2023-11-09,36367,Loan Payment
T000135,C00200,2023-02-15,15819,Loan Payment
T000136,C00966,2023-12-07,11337,Loan Payment
T000137,C01899,2023-02-09,10820,Deposit
T000138,C02405,2023-12-27,11341,Withdrawal
T000139,C01142,2023-09-07,6497,Withdrawal
